size,n,sobel_lum_mae,sobel_alpha_mae,bevel_mae,sobel_lum_ang,sobel_alpha_ang,bevel_ang,sobel_lum_l1,sobel_alpha_l1,bevel_l1
32,274,53.7352324715496,48.90433630978104,36.99734415625134,0.4737299775881489,0.4092359511847914,0.2546040128073553,0.44215398689691165,0.40774954501947347,0.3057693753690615
48,275,51.0335102705522,44.84586755925959,34.20853895707564,0.4392748680981723,0.3508546355095777,0.21988604464314201,0.4198058273575523,0.3778768503665924,0.2878794199770147
64,308,49.61000737896213,43.93202912962282,35.110990778192296,0.4240637586101309,0.3385610068579773,0.23098882166789725,0.40527748655189166,0.37037282519332776,0.2959710029135277
80,316,47.59368100950989,42.4815699058243,35.13610327394703,0.40067141097557696,0.3206028964700578,0.23131107107465027,0.38827638323359853,0.3579743370130847,0.2971545504995539
96,276,46.90092591271884,41.471913144208386,34.978165854578435,0.39273662568218465,0.3046783436683641,0.22471787173139013,0.3808726377353288,0.3505082757792611,0.29839330328547436
-1,1449,49.704492784846316,44.26079421507399,35.276596329967425,0.42527378522749193,0.34388833929539714,0.23222301581590402,0.4066517915167917,0.3723771662918595,0.297007665912228
