epoch,train_loss,train_l1,train_ang,val_loss,val_l1,val_ang,val_mae_deg,lr,epoch_time_s
66,0.215875,0.165136,0.101479,0.222646,0.168447,0.108399,20.3013,2.99e-05,51.4
67,0.215605,0.164947,0.101315,0.223860,0.169013,0.109695,20.4065,2.63e-05,50.8
68,0.215390,0.164812,0.101157,0.223727,0.169221,0.109012,20.4018,2.29e-05,51.0
69,0.215090,0.164591,0.100998,0.222999,0.168784,0.108429,20.3415,1.98e-05,51.3
70,0.214569,0.164213,0.100711,0.220727,0.167000,0.107453,20.1406,1.69e-05,50.7
71,0.214547,0.164197,0.100700,0.222417,0.168171,0.108491,20.2897,1.43e-05,50.8
72,0.214419,0.164090,0.100658,0.221162,0.167369,0.107585,20.1758,1.20e-05,50.7
73,0.213817,0.163730,0.100173,0.221867,0.167777,0.108180,20.2400,9.87e-06,50.7
74,0.213848,0.163734,0.100227,0.221166,0.167350,0.107633,20.1788,8.06e-06,50.3
75,0.213584,0.163541,0.100086,0.222044,0.167963,0.108161,20.2560,6.52e-06,51.0
76,0.213450,0.163448,0.100003,0.221343,0.167328,0.108030,20.1924,5.26e-06,50.6
77,0.213854,0.163705,0.100298,0.221554,0.167582,0.107945,20.2131,4.27e-06,50.8
78,0.213147,0.163270,0.099753,0.221044,0.167227,0.107634,20.1692,3.57e-06,50.8
79,0.213412,0.163383,0.100058,0.220882,0.167135,0.107493,20.1528,3.14e-06,50.6
80,0.212946,0.163071,0.099749,0.221275,0.167336,0.107878,20.1859,3.00e-06,50.2
