epoch,train_loss,train_l1,train_angular,val_loss,val_l1,val_angular,val_mae,val_psnr,val_ssim,val_mae_deg,lr,epoch_time_s
50,0.066574,0.017309,0.039273,0.103527,0.026430,0.063187,0.026430,26.0572,0.906492,3.6204,2.49e-04,121.3
51,0.065386,0.016975,0.038548,0.104289,0.026532,0.063744,0.026532,25.9966,0.905777,3.6523,2.45e-04,121.0
52,0.064335,0.016637,0.037945,0.105201,0.026728,0.064394,0.026728,25.9054,0.904640,3.6895,2.41e-04,124.3
53,0.063239,0.016357,0.037290,0.104567,0.026574,0.063929,0.026574,25.9504,0.905308,3.6629,2.37e-04,124.8
54,0.062376,0.016091,0.036787,0.103940,0.026244,0.063705,0.026244,25.9690,0.906192,3.6500,2.33e-04,123.3
55,0.061194,0.015754,0.036099,0.102931,0.025965,0.063016,0.025965,25.9924,0.906001,3.6106,2.29e-04,122.5
56,0.059791,0.015365,0.035256,0.102750,0.025814,0.063007,0.025814,25.9941,0.906585,3.6100,2.25e-04,124.0
57,0.058483,0.015059,0.034442,0.101403,0.025589,0.062011,0.025589,26.0544,0.907330,3.5530,2.21e-04,120.1
58,0.056716,0.014634,0.033349,0.102444,0.025764,0.062748,0.025764,25.9853,0.906322,3.5952,2.17e-04,124.5
59,0.057482,0.014787,0.033866,0.102356,0.025858,0.062619,0.025858,26.0120,0.906770,3.5878,2.12e-04,132.6
60,0.056645,0.014542,0.033364,0.102683,0.025819,0.062862,0.025819,25.9582,0.906170,3.6017,2.08e-04,128.7
61,0.056280,0.014383,0.033197,0.102244,0.025727,0.062621,0.025727,25.9850,0.906156,3.5879,2.03e-04,125.9
62,0.055043,0.014052,0.032454,0.102198,0.025635,0.062652,0.025635,25.9670,0.906146,3.5897,1.98e-04,125.8
63,0.053691,0.013724,0.031628,0.101659,0.025657,0.062159,0.025657,25.9975,0.906895,3.5614,1.94e-04,126.2
64,0.052219,0.013334,0.030747,0.101683,0.025397,0.062351,0.025397,25.9433,0.906695,3.5725,1.89e-04,126.2
65,0.051842,0.013165,0.030570,0.102559,0.025858,0.062763,0.025858,25.9603,0.906341,3.5960,1.84e-04,122.2
66,0.051053,0.013020,0.030069,0.101803,0.025595,0.062330,0.025595,25.9759,0.907082,3.5713,1.79e-04,126.5
67,0.049537,0.012620,0.029157,0.101275,0.025203,0.062181,0.025203,25.9596,0.906487,3.5627,1.75e-04,128.3
68,0.049611,0.012588,0.029242,0.100871,0.025038,0.061982,0.025038,25.9548,0.906520,3.5513,1.70e-04,126.3
69,0.048939,0.012419,0.028850,0.101389,0.025345,0.062143,0.025345,25.9366,0.906417,3.5605,1.65e-04,126.4
70,0.048014,0.012158,0.028307,0.101433,0.025301,0.062213,0.025301,25.9480,0.906675,3.5645,1.60e-04,123.8
71,0.047295,0.011986,0.027881,0.101109,0.025072,0.062093,0.025072,25.9145,0.906428,3.5577,1.55e-04,127.3
72,0.046361,0.011730,0.027330,0.101204,0.025137,0.062120,0.025137,25.9319,0.906332,3.5592,1.50e-04,127.3
73,0.045642,0.011540,0.026903,0.101179,0.025184,0.062036,0.025184,25.9178,0.906338,3.5544,1.45e-04,124.5
74,0.044882,0.011334,0.026458,0.100725,0.025035,0.061784,0.025035,25.9313,0.906525,3.5400,1.40e-04,124.2
75,0.044115,0.011129,0.026006,0.100966,0.025017,0.062029,0.025017,25.9159,0.906205,3.5540,1.36e-04,127.3
76,0.043642,0.010978,0.025750,0.100591,0.024885,0.061809,0.024885,25.9099,0.906413,3.5414,1.31e-04,125.3
77,0.042976,0.010806,0.025354,0.100927,0.024946,0.062017,0.024946,25.8901,0.906156,3.5533,1.26e-04,128.0
78,0.042294,0.010621,0.024959,0.100754,0.024932,0.061869,0.024932,25.8929,0.906046,3.5449,1.21e-04,128.9
79,0.041654,0.010453,0.024583,0.101082,0.025050,0.062053,0.025050,25.8732,0.905934,3.5554,1.16e-04,122.6
80,0.040951,0.010280,0.024161,0.100468,0.024757,0.061787,0.024757,25.8973,0.906125,3.5401,1.12e-04,136.8
81,0.040395,0.010117,0.023847,0.101116,0.025019,0.062103,0.025019,25.8627,0.905873,3.5583,1.07e-04,137.0
82,0.039861,0.009998,0.023519,0.100944,0.024930,0.062035,0.024930,25.8712,0.905821,3.5543,1.02e-04,127.0
83,0.039231,0.009830,0.023152,0.101237,0.025120,0.062130,0.025120,25.8585,0.905588,3.5598,9.76e-05,132.6
84,0.038893,0.009762,0.022942,0.100881,0.024863,0.062012,0.024863,25.8550,0.905578,3.5530,9.30e-05,147.8
85,0.038319,0.009593,0.022616,0.101136,0.024978,0.062136,0.024978,25.8443,0.905370,3.5601,8.85e-05,148.8
86,0.037853,0.009459,0.022353,0.101147,0.024947,0.062169,0.024947,25.8371,0.905293,3.5620,8.41e-05,154.8
87,0.037481,0.009357,0.022140,0.100961,0.024871,0.062086,0.024871,25.8413,0.905257,3.5573,7.97e-05,120.0
88,0.037081,0.009254,0.021908,0.101408,0.025013,0.062310,0.025013,25.8115,0.905012,3.5701,7.54e-05,119.4
89,0.036556,0.009115,0.021597,0.101158,0.024899,0.062201,0.024899,25.8140,0.904956,3.5638,7.12e-05,119.2
90,0.036122,0.009003,0.021342,0.101168,0.024857,0.062245,0.024857,25.8067,0.904913,3.5664,6.71e-05,120.9
91,0.035667,0.008881,0.021079,0.101256,0.024880,0.062291,0.024880,25.7883,0.904856,3.5690,6.31e-05,120.1
92,0.035297,0.008783,0.020862,0.101318,0.024916,0.062317,0.024916,25.7905,0.904698,3.5705,5.92e-05,121.2
93,0.034943,0.008696,0.020650,0.101476,0.024936,0.062424,0.024936,25.7804,0.904572,3.5766,5.53e-05,120.0
94,0.034523,0.008587,0.020402,0.101373,0.024892,0.062380,0.024892,25.7798,0.904562,3.5741,5.16e-05,119.2
95,0.034210,0.008501,0.020222,0.101705,0.024958,0.062591,0.024958,25.7546,0.904324,3.5862,4.80e-05,119.8
96,0.033914,0.008423,0.020050,0.101620,0.024940,0.062536,0.024940,25.7598,0.904285,3.5830,4.44e-05,120.9
97,0.033621,0.008351,0.019876,0.101841,0.024997,0.062665,0.024997,25.7446,0.904129,3.5905,4.10e-05,123.4
98,0.033293,0.008260,0.019686,0.101796,0.025010,0.062620,0.025010,25.7461,0.904019,3.5879,3.77e-05,134.6
99,0.032999,0.008182,0.019514,0.101936,0.025008,0.062734,0.025008,25.7310,0.903904,3.5944,3.46e-05,138.5
100,0.032729,0.008118,0.019350,0.102027,0.025014,0.062797,0.025014,25.7190,0.903770,3.5980,3.15e-05,148.5
101,0.032474,0.008050,0.019200,0.102197,0.025092,0.062866,0.025092,25.7052,0.903652,3.6019,2.86e-05,157.2
102,0.032244,0.007987,0.019067,0.102192,0.025056,0.062894,0.025056,25.7030,0.903522,3.6036,2.58e-05,159.6
103,0.032021,0.007933,0.018931,0.102210,0.025074,0.062895,0.025074,25.7023,0.903482,3.6036,2.32e-05,123.4
104,0.031809,0.007878,0.018805,0.102410,0.025153,0.062994,0.025153,25.6915,0.903330,3.6093,2.07e-05,121.7
105,0.031622,0.007832,0.018691,0.102432,0.025117,0.063034,0.025117,25.6813,0.903235,3.6116,1.83e-05,120.5
106,0.031452,0.007785,0.018593,0.102464,0.025112,0.063067,0.025112,25.6784,0.903170,3.6135,1.60e-05,119.5
107,0.031288,0.007741,0.018497,0.102585,0.025152,0.063130,0.025152,25.6680,0.903040,3.6171,1.39e-05,120.7
108,0.031155,0.007708,0.018415,0.102643,0.025160,0.063171,0.025160,25.6633,0.902995,3.6194,1.20e-05,122.3
109,0.031018,0.007674,0.018332,0.102665,0.025157,0.063192,0.025157,25.6597,0.902894,3.6206,1.02e-05,123.5
110,0.030905,0.007647,0.018262,0.102717,0.025172,0.063221,0.025172,25.6547,0.902838,3.6223,8.54e-06,119.8
111,0.030808,0.007621,0.018204,0.102787,0.025193,0.063259,0.025193,25.6496,0.902776,3.6245,7.04e-06,120.5
112,0.030726,0.007599,0.018155,0.102796,0.025194,0.063266,0.025194,25.6480,0.902739,3.6249,5.70e-06,120.5
113,0.030638,0.007577,0.018101,0.102878,0.025214,0.063316,0.025214,25.6433,0.902664,3.6277,4.51e-06,120.4
114,0.030586,0.007563,0.018069,0.102895,0.025212,0.063332,0.025212,25.6408,0.902620,3.6286,3.47e-06,119.9
115,0.030533,0.007549,0.018038,0.102908,0.025214,0.063339,0.025214,25.6387,0.902594,3.6291,2.60e-06,118.0
116,0.030495,0.007539,0.018013,0.102935,0.025224,0.063353,0.025224,25.6374,0.902563,3.6299,1.88e-06,119.2
117,0.030471,0.007533,0.017999,0.102955,0.025229,0.063364,0.025229,25.6349,0.902544,3.6305,1.32e-06,125.0
118,0.030450,0.007527,0.017986,0.102973,0.025234,0.063375,0.025234,25.6335,0.902529,3.6311,9.20e-07,120.0
119,0.030426,0.007521,0.017971,0.102976,0.025231,0.063380,0.025231,25.6334,0.902517,3.6314,6.80e-07,118.2
120,0.030422,0.007520,0.017969,0.102992,0.025238,0.063387,0.025238,25.6319,0.902508,3.6318,6.00e-07,119.4
